vin,name,model_id,make_name,model_name,body_style,door_count,engine_cylinders,price,transmission,trim,year,normalized_color_exterior,normalized_color_interior
JN1BJ1AW5MW668364,Nissan Rogue Sport,20001402,Nissan,Rogue Sport,SUV,4,0,16970,Automatic,S,2021,Gray,Gray
JN8AT2MT9JW450602,Nissan Rogue,20000515,Nissan,Rogue,Sport Utility,4,0,14439,Automatic,SV,2018,Gray,Gray
KNMAT2MT4JP602887,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,17787,Automatic,SV,2018,Black,Gray
3N1CP5CV5RL490676,Nissan Kicks,20001454,Nissan,Kicks,SUV,4,0,23995,Automatic,SV,2024,Black,Gray
JN1BJ1AV4MW307991,Nissan Rogue Sport,20001402,Nissan,Rogue Sport,suv,4,4,20953,Automatic,S,2021,Brilliant Silver Metallic,charcoal
3N1AB8CV8NY288919,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,25995,Automatic,SV,2022,Blue,Black
1N4BL4EW2PN404599,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,28795,Automatic,2.5 SL,2023,White,Gray
5N1BT3BA7NC721490,Nissan Rogue,20000515,Nissan,Rogue,Sport Utility,4,0,25999,Automatic,SV,2022,Red,Gray
3N6CM0KNXKK708372,Nissan NV200,20001111,Nissan,NV200,Cargo Van,4,0,15995,Automatic,S,2019,White,Gray
JN1BJ1BV9MW318127,Nissan Rogue Sport,20001402,Nissan,Rogue Sport,Sport Utility,4,0,24000,Automatic,SV,2021,Gray,Gray
1N6ED1EJ9NN633461,Nissan Frontier,20000506,Nissan,Frontier,Regular Side,4,0,19297,Automatic,S,2022,Gray,Gray
3N1AB7AP2KY226927,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,12995,Automatic,S,2019,White,Gray
5N1AT2MV1KC805127,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,18199,Automatic,SL,2019,Gray,Gray
3N1AB8BV3LY244910,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,14999,Automatic,S,2020,Black,Gray
1N4AA6CV2NC501530,Nissan Maxima,20000510,Nissan,Maxima,Sedan,4,0,21495,Automatic,3.5 SV,2022,Black,Gray
1N6ED1EJ9NN648185,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,23491,Automatic,SV,2022,Gray,Gray
3N1CP5CV8PL513770,Nissan Kicks,20001454,Nissan,Kicks,Sport Utility,4,0,0,Automatic,SV,2023,Black,Gray
1N6AD0EV8GN743934,Nissan Frontier,20000506,Nissan,Frontier,Regular Side,4,0,24890,Automatic,Pro-4X,2016,White,Gray
3N1AB7AP8GY286508,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,9995,Automatic,S,2016,Silver,Gray
JN8AY2NC7J9550700,Nissan Armada,20000505,Nissan,Armada,Sport Utility,4,0,19898,Automatic,SL,2018,White,Gray
JN8AS5MV6CW399830,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,11998,Automatic,S,2012,Silver,Black
JN8BT3DC2PW101803,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,32495,Automatic,Platinum,2023,Black,Gray
KNMAT2MT4JP539001,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,19998,Automatic,SV,2018,White,Black
1N4BL4DV3NN313850,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,17375,Automatic,2.5 SV,2022,Blue,Gray
1N4BL4CV3LN316102,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,18800,Automatic,One Owner SR 2.5,2020,Red,Gray
1N6AD0CUXFN724083,Nissan Frontier,20000506,Nissan,Frontier,Regular Side,4,0,14995,Automatic,SV,2015,Black,Black
1N4BL4BV1LC240988,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,16200,Automatic,2.5 S,2020,Silver,Gray
3N1CN8EV4ML832521,Nissan Versa,20000521,Nissan,Versa,Sedan,4,0,14995,Automatic,1.6 SV,2021,Silver,Gray
1N6ED1EK0NN648293,Nissan Frontier,20000506,Nissan,Frontier,Regular Side,4,0,30500,Automatic,SV,2022,White,Gray
