vin,name,model_id,make_name,model_name,body_style,door_count,engine_cylinders,price,transmission,trim,year,normalized_color_exterior,normalized_color_interior
WBXHT3C35GP889092,BMW X1,20000934,BMW,X1,SUV,4,0,16800,Automatic,xDrive 28i,2016,Black,Black
WB523CF05RCN46857,BMW iX,20001847,BMW,iX,Sport Utility,4,0,86789,Automatic,xDrive50,2024,White,Brown
5UX33EM02R9S12322,BMW X7,20001703,BMW,X7,SUV,4,0,112995,Automatic,M60i,2024,Blue,Black
WB523CF0XPCM15355,BMW iX,20001847,BMW,iX,SUV,4,0,84810,Automatic,xDrive50,2023,Gray,Black
5UXCR6C08P9R25227,BMW X5,20000035,BMW,X5,Sport Utility,4,0,53888,Automatic,xDrive40i,2023,White,Black
WBXYJ3C33JEB38004,BMW X2,20001451,BMW,X2,SUV,4,0,0,Automatic,sDrive28i,2018,White,Red
5UXTY3C01L9D53061,BMW X3,20000034,BMW,X3,SUV,4,0,25498,Automatic,sDrive30i,2020,Black,Black
5UXTY3C02L9D36804,BMW X3,20000034,BMW,X3,,4,0,25998,Automatic,sDrive30i,2020,White,Beige
5UXCR6C57KLL08313,BMW X5,20000035,BMW,X5,SUV,4,0,30750,Automatic,xDrive40i,2019,Black,Black
5UXCR6C08L9C57779,BMW X5,20000035,BMW,X5,SUV,4,0,36000,Automatic,xDrive40i,2020,Blue,Black
5UXKU2C58F0F95755,BMW X6,20000748,BMW,X6,SUV,4,0,26995,Automatic,xDrive35i,2015,White,Black
WBXYH9C08M5S22504,BMW X2,20001451,BMW,X2,SUV,4,0,23998,Automatic,sDrive28i,2021,Black,Black
WBXYH9C05M5T14167,BMW X2,20001451,BMW,X2,SUV,4,0,26881,Automatic,sDrive28i,2021,Black,Black
WBXYH9C00N5T89781,BMW X2,20001451,BMW,X2,SUV,4,0,28499,Automatic,sDrive28i,2022,Gray,Black
5UXCR4C0XM9H16557,BMW X5,20000035,BMW,X5,Sport Utility,4,0,47881,Automatic,sDrive40i,2021,White,Black
5UXWZ7C54G0T42611,BMW X3,20000034,BMW,X3,SUV,4,0,16998,Automatic,sDrive28i,2016,White,Black
5UXTY3C02M9E99972,BMW X3,20000034,BMW,X3,Sport Utility,4,0,30991,Automatic,sDrive30i,2021,Silver,Black
5UXTS1C09M9F49840,BMW X3,20000034,BMW,X3,SUV,4,0,32495,Automatic,xDrive30e,2021,Gray,
5UXTR7C59KLR39506,BMW X3,20000034,BMW,X3,SUV,4,0,20400,Automatic,sDrive30i,2019,Black,Black
5UX53DP08R9T38716,BMW X3,20000034,BMW,X3,SUV,4,0,42598,Automatic,xDrive30i,2024,Gray,Black
WBX73EF03P5X50258,BMW X1,20000934,BMW,X1,Sport Utility,4,0,39999,Automatic,xDrive28i,2023,White,Red
5UXKR2C59H0U17936,BMW X5,20000035,BMW,X5,SUV,4,0,16495,Automatic,sDrive35i,2017,,
5UXTY3C0XM9E33475,BMW X3,20000034,BMW,X3,,4,0,31777,Automatic,sDrive30i,2021,White,Black
5UXTY3C06L9B34838,BMW X3,20000034,BMW,X3,SUV,4,0,21267,Automatic,sDrive30i,2020,Blue,Beige
5UXKR2C59E0H33335,BMW X5,20000035,BMW,X5,SUV,4,0,13500,Automatic,sDrive35i,2014,,
WB523CF07RCN49033,BMW iX,20001847,BMW,iX,Sport Utility,4,0,84495,Automatic,xDrive50,2024,Gray,Black
WBSDZ0C07LCD34012,BMW 8-Series,20000033,BMW,8-Series,Convertible,2,0,62990,Automatic,Convertible,2020,Gray,Black
WBXJG7C07M5S35589,BMW X1,20000934,BMW,X1,SUV,4,0,27999,Automatic,sDrive28i,2021,Black,Brown
WB523CF02NCK60829,BMW iX,20001847,BMW,iX,SUV,4,0,69670,Automatic,xDrive50,2022,Red,Black
WBSKG9C51DJ594817,BMW 3-Series,20000029,BMW,3-Series,Coupe,2,0,37885,Manual,,2013,Red,
WBX73EF01P5W08720,BMW X1,20000934,BMW,X1,SUV,4,0,43945,Automatic,xDrive28i,2023,Silver,
5UXTY9C06L9B78910,BMW X3,20000034,BMW,X3,Sport Utility,4,0,42998,Automatic,M40i,2020,Blue,Brown
WBS73CH0XNCH76519,BMW 5-Series,20000030,BMW,5-Series,Sedan,4,0,132995,Automatic,,2022,,Black
5UX23EU01R9S28748,BMW X5,20000035,BMW,X5,Sport Utility,4,0,65995,Automatic,xDrive40i,2024,Brown,Brown
WBS83CH06MCF76630,BMW 5-Series,20000030,BMW,5-Series,Sedan,4,0,72996,Automatic,,2021,White,Black
